country,input,slope,se,n,region
KOR,ST297Q07JA,0.3113950174993203,0.03217331150268124,6358,East Asia
KSV,hwk_h,0.015512159840844182,0.0067223789784526195,5005,Non-OECD
KSV,study_h,0.026938955818110566,0.0025093233716088383,5297,Non-OECD
KSV,EXERPRAC,-0.017779944048054636,0.0021991801022470045,5269,Non-OECD
KSV,ST297Q01JA,-0.20909610326822073,0.016308901719783653,5711,Non-OECD
KSV,ST297Q03JA,-0.03095603061521321,0.016787532136648495,5711,Non-OECD
KSV,ST297Q05JA,-0.05411501712334738,0.01769479835007585,5711,Non-OECD
KSV,ST297Q06JA,-0.07085949285619622,0.016905900430313682,5711,Non-OECD
KSV,ST297Q07JA,-0.13904352371574658,0.01764260789546056,5711,Non-OECD
LTU,hwk_h,-0.05358010564298636,0.009545175641778123,6746,OECD (other)
LTU,study_h,-0.021698010255999035,0.003203714220670135,6910,OECD (other)
LTU,EXERPRAC,-0.05824195808165071,0.0028288394297199264,6902,OECD (other)
LTU,ST297Q01JA,-0.3078069580198207,0.021881749914195104,6764,OECD (other)
LTU,ST297Q03JA,-0.1064419014501393,0.020745545795557173,6764,OECD (other)
LTU,ST297Q05JA,-0.23628042341666491,0.022887663743344926,6764,OECD (other)
LTU,ST297Q06JA,-0.17176800325994698,0.02660015442523589,6764,OECD (other)
LTU,ST297Q07JA,-0.2657336973475574,0.03274400522182961,6764,OECD (other)
LVA,hwk_h,-0.08106187078937285,0.01067046595161706,4909,OECD (other)
LVA,study_h,-0.021038331682868932,0.003269200928188185,5137,OECD (other)
LVA,EXERPRAC,-0.04569095085292099,0.0030425279418407262,5136,OECD (other)
LVA,ST297Q01JA,-0.2677005743064917,0.021395931623137,4862,OECD (other)
LVA,ST297Q03JA,-0.11367897965753358,0.02156329789396511,4862,OECD (other)
LVA,ST297Q05JA,-0.1300592943300659,0.025097305729115036,4862,OECD (other)
LVA,ST297Q06JA,-0.1730797657132799,0.02658104905427021,4862,OECD (other)
LVA,ST297Q07JA,-0.14558066273597423,0.030286671158631387,4862,OECD (other)
MAC,hwk_h,-0.035899550958521806,0.011936255719023965,4348,East Asia
MAC,study_h,-0.002111709802018451,0.004480098968979119,4373,East Asia
MAC,EXERPRAC,-0.05520434064439307,0.0040545296725721155,4373,East Asia
MAC,ST297Q01JA,-0.38708069983683024,0.03351012387064227,4308,East Asia
MAC,ST297Q03JA,-0.030222907419603023,0.03663520273706311,4308,East Asia
MAC,ST297Q05JA,-0.059227020089535974,0.04199363680657334,4308,East Asia
MAC,ST297Q06JA,-0.18045262871270926,0.03023274610365372,4308,East Asia
MAC,ST297Q07JA,-0.009058599629887372,0.034669179060362224,4308,East Asia
MAR,hwk_h,0.013947233208102679,0.004708441194079297,5414,Non-OECD
MAR,study_h,0.011654742383285685,0.0019262369760728645,6436,Non-OECD
MAR,EXERPRAC,-0.014658824712721634,0.00182960309477139,6424,Non-OECD
MAR,ST297Q01JA,-0.18178269746577816,0.014161102618331272,5688,Non-OECD
MAR,ST297Q03JA,-0.0896743450946511,0.014703911196908026,5688,Non-OECD
MAR,ST297Q05JA,-0.012056431891545306,0.014287038479329833,5688,Non-OECD
MAR,ST297Q06JA,-0.07957593030191873,0.01592863859482999,5688,Non-OECD
